17851	2	1
26577	2	1
6133	3	1
16543	3	1
12063	4	1
14381	4	1
18898	4	1
2112	5	2
10387	5	1
10515	5	1
14089	5	1
24766	5	1
18539	6	1
5941	7	1
23515	7	1
26435	7	1
15792	8	1
16189	8	1
1736	9	1
6391	9	1
7155	9	1
17461	9	1
22289	9	1
23155	9	1
5163	10	1
7441	10	5
923	11	1
2666	11	1
6115	11	1
6219	11	1
7052	11	1
8268	11	1
10155	11	1
12510	11	1
22270	11	1
24272	11	1
5770	12	1
6331	12	1
13856	12	2
21662	12	1
1927	13	1
2250	13	1
9040	13	1
9877	13	1
10105	13	1
12599	13	1
15314	13	1
22176	14	1
12213	15	1
18004	15	1
20272	15	1
25896	15	1
9873	16	1
1917	17	2
2450	17	2
2788	17	1
9349	17	1
9926	17	5
16798	17	1
18436	17	1
19282	17	1
19550	17	2
19565	17	2
23377	17	2
24393	17	2
27794	17	3
3961	18	1
5736	18	3
6534	18	1
14537	18	3
18236	18	1
21745	18	1
25078	18	1
26391	18	1
1102	19	1
8854	19	1
6464	20	1
8488	20	1
9085	20	1
25316	20	1
25882	20	1
10019	21	1
16368	21	1
21745	21	1
28483	21	1
27336	22	1
1873	23	1
5572	24	1
7350	24	1
11069	24	1
19724	24	1
349	25	1
862	25	1
1396	25	1
4506	25	1
5280	25	4
5984	25	1
6940	25	1
7397	25	1
7651	25	3
7769	25	7
8640	25	1
11614	25	2
12873	25	1
13210	25	1
18247	25	1
18612	25	2
19872	25	1
20326	25	1
24263	25	2
25054	25	1
4299	26	1
4854	26	1
5080	26	1
6896	26	3
7449	26	1
7881	26	1
8613	26	1
11549	26	1
15165	26	1
18025	26	2
19542	26	2
22104	26	2
24491	26	2
25355	26	1
27142	26	1
28300	26	1
14855	27	2
18912	27	2
17801	28	1
20491	28	1
21552	28	1
22574	28	1
1871	29	3
3741	29	1
13504	29	1
24724	29	1
25526	29	4
9374	30	1
10826	30	1
14915	30	1
24026	30	1
2576	31	1
2661	31	1
8039	31	2
9829	31	1
9889	31	2
10668	31	1
13331	31	3
15142	31	1
16003	31	1
17148	31	1
18427	31	2
19213	31	1
19495	31	1
28675	31	1
8584	32	1
12333	32	1
12503	32	1
18093	32	1
19692	32	3
25049	32	3
25480	32	1
26933	32	1
12869	33	1
16126	33	1
26096	33	1
12008	34	1
9466	35	1
14469	35	1
19290	35	1
3921	36	2
17616	36	1
20388	38	1
1449	40	1
1687	40	1
2565	40	1
3138	40	1
4284	40	1
8257	40	1
11768	40	1
17610	40	1
21174	40	1
21430	40	2
26004	40	1
12010	41	1
19521	41	1
21526	41	1
23728	41	1
24130	41	1
26088	41	1
26359	41	1
27360	41	1
15638	42	1
16580	42	1
23107	42	1
967	43	1
10964	43	1
11618	43	1
15142	43	5
16155	43	1
19495	43	9
20359	43	1
27915	43	1
28115	43	1
28675	43	1
3517	44	1
10474	44	3
13784	44	1
19873	44	1
21859	44	1
5214	45	1
5815	45	1
20145	45	1
26474	45	1
5557	46	1
15109	47	1
11981	48	1
26179	48	1
26391	48	1
27630	48	1
3126	49	1
19077	49	1
20867	49	1
5854	50	1
13715	50	1
14674	50	1
25589	50	1
26457	50	1
22933	51	1
4584	52	2
9342	52	1
10919	52	1
11274	52	1
13918	52	2
15107	52	1
15119	52	1
15457	52	2
21990	52	1
7817	53	1
25070	53	1
1306	54	1
5914	54	1
11586	54	1
16990	54	1
20790	54	1
27806	54	1
3688	55	1
5756	55	3
6246	55	1
6922	56	1
17514	56	1
20034	56	2
18073	57	1
19217	57	1
20880	57	1
10490	58	1
18865	58	1
2122	59	1
10983	59	1
22614	59	1
7113	60	1
28074	60	1
3774	61	1
16937	61	1
25627	61	3
27318	61	1
7806	62	1
22237	62	1
26740	62	1
25983	63	2
16294	64	1
16972	64	1
19731	64	1
22576	64	1
26553	64	1
27197	64	1
12799	65	1
14139	65	1
424	66	1
11889	66	1
15427	66	1
28231	66	1
13550	67	2
14605	67	2
16027	67	1
3831	68	1
7964	68	1
23143	68	2
24828	68	1
9582	69	1
13336	69	1
26594	69	1
4735	70	1
23432	70	1
5996	71	1
11865	71	1
13630	71	3
26362	71	1
6819	72	1
8561	72	1
8819	72	1
17643	72	1
18366	72	1
21167	72	1
3540	73	1
9418	73	3
14531	73	2
16033	73	1
16934	73	1
20926	73	1
24664	73	1
28049	73	1
2310	74	1
3084	74	1
23617	74	1
96	75	1
3555	75	1
17268	75	1
1876	76	3
2586	76	1
2966	76	1
3095	76	1
4934	76	4
6600	76	3
21161	76	1
22269	76	1
23862	76	1
26854	76	4
28629	76	1
1038	77	1
1606	77	1
4100	77	1
4182	77	1
5144	77	1
7185	77	1
10151	77	4
10969	77	1
11474	77	2
11791	77	1
14878	77	1
15494	77	1
16387	77	1
18726	77	1
21878	77	1
22703	77	1
23090	77	1
24009	77	1
25114	77	1
26804	77	1
19176	78	1
4923	79	2
6691	79	1
8710	79	1
26639	79	1
6299	80	1
6795	80	1
9045	80	1
14486	80	1
18256	80	1
24939	80	1
1537	81	1
2074	81	1
2610	81	1
10802	81	1
12669	81	1
17735	81	2
18043	81	1
24730	81	1
24909	81	1
25337	81	1
25707	81	1
1437	82	1
2746	82	1
4126	82	1
6743	82	1
7249	82	1
8468	82	1
9547	82	1
10561	82	1
11143	82	1
11529	82	1
12743	82	1
15144	82	1
21753	82	1
24399	82	1
