31232	38
16390	38
6151	38
26123	38
11794	38
28180	38
18972	38
27168	38
21538	38
34339	38
23600	38
33331	38
24646	38
22599	38
30795	38
28761	38
14439	38
11882	38
1652	38
27778	38
29316	38
18583	38
34968	38
7841	38
28329	38
3762	33
13504	38
15041	38
17091	38
20677	38
13510	38
35529	38
26826	38
26830	38
34518	38
31450	38
7908	38
9957	38
9447	38
35050	38
20861	38
29426	38
34037	38
17143	38
19707	38
35580	38
26365	38
19716	38
29961	38
20756	38
5397	38
27926	38
33052	38
15138	38
3364	38
11566	38
23865	38
25919	38
33607	38
2380	38
34640	38
25429	38
31078	38
19891	38
13166	38
19827	38
21886	38
25975	38
22762	38
25982	38
24970	38
18849	38
35241	38
33707	38
22956	38
432	38
29107	38
9653	38
35256	38
2508	38
27601	38
33235	38
2517	38
21978	38
35302	38
27635	38
18942	38
10241	36
13315	36
34831	36
12816	36
30737	36
34324	36
32277	36
10267	36
25120	36
4135	36
25132	33
10802	36
21043	36
25140	36
30786	36
13897	36
28743	36
14921	36
17335	36
30284	36
13903	36
31826	36
25683	36
32857	36
35935	36
26128	36
26214	36
18026	36
26226	36
13502	36
34425	36
11395	36
9861	36
14986	36
1163	36
12944	36
7315	36
6804	36
31390	36
19424	36
10406	36
7794	36
17584	36
24760	36
8891	36
9406	36
33984	36
28866	36
31955	36
9432	36
5849	36
4323	36
19409	36
11644	36
12011	2
14572	2
5879	36
16126	36
14081	36
12037	36
30487	36
19236	36
1831	36
28969	36
19244	36
29746	36
4913	36
26424	36
3902	36
25921	36
6466	36
18246	36
30537	36
21847	36
29528	36
24921	44
17754	36
22877	36
16615	36
28014	36
28531	36
34684	36
21801	36
29054	36
18816	36
25473	36
23427	36
33161	36
31117	36
21915	36
25505	36
31643	36
7591	2
10154	36
13227	36
20908	36
20397	36
7598	36
12722	36
2484	36
2889	36
30141	36
11253	36
22466	36
9667	36
7109	36
26185	36
21960	36
29137	36
30162	36
27091	36
3307	36
27609	36
32733	36
7648	36
5602	36
31206	33
10732	36
27390	36
33271	36
17918	36
28680	33
28684	33
28686	33
8722	33
29203	33
4121	33
4646	33
17841	33
6186	33
20016	33
20021	33
34057	33
21049	33
19531	33
25164	33
31309	33
19534	33
16975	33
6737	33
11863	33
24664	33
28250	33
30991	33
23647	33
1979	33
27486	33
27756	33
2672	33
3699	33
21115	33
28285	49
5763	33
33419	33
22679	33
5276	33
5287	33
21165	33
15022	33
25776	33
14513	33
17599	33
27338	33
27858	33
34003	33
18132	33
4331	33
35067	33
30471	33
34860	33
15119	33
31534	33
1304	33
13090	33
18725	33
9001	33
19246	33
9013	33
23179	33
35652	33
13126	33
9543	33
27989	33
10078	33
23908	33
29038	33
18799	33
26483	33
11638	33
1911	33
27005	33
32235	33
23936	33
22507	33
12168	33
21655	33
24975	33
7059	33
3989	33
23978	33
20395	33
27569	33
19899	33
12307	33
17866	33
10702	33
4567	33
15326	33
21472	33
15851	33
31213	33
2557	33
29169	33
32754	33
27636	33
7674	33
28586	33
10750	33
6657	13
20994	13
19971	13
1543	13
16301	13
31249	13
25107	13
2584	13
34845	13
6176	13
24620	13
34366	13
34372	13
25672	13
15946	13
14411	13
